Day,Date,Exercise,Weight,Cat
Monday,2/27/23,Squat,305,Min
Tuesday,2/28/23,Squat,305.79,Min
Wednesday,3/1/23,Squat,306.58,Min
Thursday,3/2/23,Squat,307.37,Min
Friday,3/3/23,Squat,308.16,Min
Saturday,3/4/23,Squat,308.95,Min
Sunday,3/5/23,Squat,309.74,Min
Monday,3/6/23,Squat,310.53,Min
Tuesday,3/7/23,Squat,311.32,Min
Wednesday,3/8/23,Squat,312.11,Min
Thursday,3/9/23,Squat,312.9,Min
Friday,3/10/23,Squat,313.69,Min
Saturday,3/11/23,Squat,314.48,Min
Sunday,3/12/23,Squat,315.27,Min
Monday,3/13/23,Squat,316.06,Min
Tuesday,3/14/23,Squat,316.85,Min
Wednesday,3/15/23,Squat,317.64,Min
Thursday,3/16/23,Squat,318.43,Min
Friday,3/17/23,Squat,319.22,Min
Saturday,3/18/23,Squat,320.01,Min
Sunday,3/19/23,Squat,320.8,Min
Monday,3/20/23,Squat,321.59,Min
Tuesday,3/21/23,Squat,322.38,Min
Wednesday,3/22/23,Squat,323.17,Min
Thursday,3/23/23,Squat,323.96,Min
Friday,3/24/23,Squat,324.75,Min
Saturday,3/25/23,Squat,325.54,Min
Sunday,3/26/23,Squat,326.33,Min
Monday,3/27/23,Squat,327.12,Min
Tuesday,3/28/23,Squat,327.91,Min
Wednesday,3/29/23,Squat,328.7,Min
Thursday,3/30/23,Squat,329.49,Min
Friday,3/31/23,Squat,330.28,Min
Saturday,4/1/23,Squat,331.07,Min
Sunday,4/2/23,Squat,331.86,Min
Monday,4/3/23,Squat,332.65,Min
Tuesday,4/4/23,Squat,333.44,Min
Wednesday,4/5/23,Squat,334.23,Min
Thursday,4/6/23,Squat,335,Min
Friday,4/7/23,Squat,335,Min
Monday,2/27/23,Bench,230,Min
Tuesday,2/28/23,Bench,230.59,Min
Wednesday,3/1/23,Bench,231.18,Min
Thursday,3/2/23,Bench,231.77,Min
Friday,3/3/23,Bench,232.36,Min
Saturday,3/4/23,Bench,232.95,Min
Sunday,3/5/23,Bench,233.54,Min
Monday,3/6/23,Bench,234.13,Min
Tuesday,3/7/23,Bench,234.72,Min
Wednesday,3/8/23,Bench,235.31,Min
Thursday,3/9/23,Bench,235.9,Min
Friday,3/10/23,Bench,236.49,Min
Saturday,3/11/23,Bench,237.08,Min
Sunday,3/12/23,Bench,237.67,Min
Monday,3/13/23,Bench,238.26,Min
Tuesday,3/14/23,Bench,238.85,Min
Wednesday,3/15/23,Bench,239.44,Min
Thursday,3/16/23,Bench,240.03,Min
Friday,3/17/23,Bench,240.62,Min
